concave,1,2,convex,4,5,linear,7,8
4,4323,1906.666667,2,4000,8462,4,3770,3392.5
3,4489,1906.666667,2,4140,4122.5,3,3965,4666
3,4540,1906.666667,3,4471,4122.5,7,4076,626
4,4506,1418.5,3,4287,4073.5,3,4280,295
2,4524,1418.5,4,4173,4073.5,3,4524,341
1,4440,1418.5,3,4276,7889,2,4638,341
1,3079,1418.5,4,4480,6689,4,4587,438.5
2,1142,1431,6,4611,6468,2,4783,438.5
2,1044,1431,5,4734,2087,1,4831,592.5
4,1008,1431,6,5293,2087,3,4814,592.5
4,1059,1431,3,5718,2087,2,4857,397.25
3,1112,960.5,2,6145,2183,1,4716,397.25
2,1186,960.5,3,6705,2183,2,3176,397.25
2,1381,960.5,3,7394,2223,4,3355,397.25
5,1617,960.5,3,7702,2223,1,3700,379
4,1928,960.5,2,7739,4592,3,4113,379
3,2314,960.5,3,7817,4767,4,4764,379
5,2672,2879,2,7559,1636.333333,3,5587,379
2,3029,2879,1,8574,1636.333333,4,6295,379
2,3418,1822.666667,1,9037,1636.333333,5,7120,560.5
3,3727,1822.666667,1,9470,2632,3,7835,560.5
4,4059,1822.666667,1,9953,2632,4,8794,560.5
3,4276,2637.5,4,10285,1937.666667,3,9476,560.5
1,4352,2637.5,1,9760,1937.666667,2,9704,439.6666667
3,4394,2639,1,9374,1937.666667,3,1899,439.6666667
3,4547,2639,1,9094,3268,2,1874,439.6666667
3,4804,5314,1,7347,3268,2,1935,439.6666667
4,5294,4868,1,5960,2374.666667,3,2012,439.6666667
7,5832,4267,2,6706,2374.666667,3,2087,439.6666667
5,6205,3988,4,7604,2374.666667,2,2092,754.5
5,6365,3819,2,8406,7643,3,2106,754.5
2,6230,2990,1,9178,7995,3,2122,754.5
2,6195,2141,3,9891,8411,3,2145,754.5
3,6108,2080,1,5450,4413,3,2161,858.25
2,6251,2159,2,5546,4413,1,2152,858.25
2,6232,709.6666667,1,5639,8837,4,2370,858.25
2,6226,709.6666667,1,5502,4327,1,2565,858.25
1,4713,709.6666667,1,5767,4327,1,2881,728.4
2,4488,539,1,6088,8416,1,3232,728.4
4,4354,539,1,6141,8105,1,3419,728.4
2,4167,539,1,5699,8020,2,3823,728.4
1,3982,539,2,5433,2302,2,4225,728.4
1,3663,731,1,5396,2302,2,4675,1298.333333
