model,drive conversion,low density growth rate,growth curve,suppressed,suppressed without chasing rate,suppressed with chasing rate,long term chasing rate,equilibrium rate,loss drive rate,short term chasing rate,intermediate chasing rate,duration of chasing,suppressed time,average fertile females
overlapping-generations fecundity,0.84,4.5,concave,1,0.4,0.6,0,0,0,0.15,0.45,141.3333333,155,2286.489459
overlapping-generations fecundity,0.86,4.5,concave,1,0.3,0.7,0,0,0,0.05,0.65,108.9285714,149,2407.586884
overlapping-generations fecundity,0.89,8,concave,1,0.25,0.75,0,0,0,0.25,0.5,158.8666667,184.65,1936.989135
overlapping-generations fecundity,0.99,5.5,concave,1,1,0,0,0,0,0,0,nan,67.35,nan
overlapping-generations fecundity,0.99,6,concave,1,1,0,0,0,0,0,0,nan,68.45,nan
overlapping-generations fecundity,0.99,6.5,concave,1,1,0,0,0,0,0,0,nan,68.35,nan
overlapping-generations fecundity,0.98,5.5,concave,1,0.9,0.1,0,0,0,0.1,0,35.5,70.5,2923.305931
overlapping-generations fecundity,0.85,3,concave,0.9,0.75,0.15,0,0,0.1,0,0.15,131.2,183.5,3427.605596
overlapping-generations fecundity,0.98,6,concave,0.95,0.85,0.1,0,0,0.05,0.1,0,37.66666667,118.65,3126.008475
overlapping-generations fecundity,1,6.5,concave,1,0.95,0.05,0,0,0,0.05,0,44,70.55,3037.753425
overlapping-generations fecundity,0.98,6.5,concave,0.95,0.9,0.05,0,0,0.05,0,0.05,40,117.85,3467.972535
overlapping-generations fecundity,0.9,8.5,concave,1,0.25,0.75,0,0,0,0.1,0.65,164.6666667,187.95,1997.974306
overlapping-generations fecundity,0.99,1.5,concave,1,1,0,0,0,0,0,0,nan,63.7,nan
overlapping-generations fecundity,0.97,6,concave,1,0.85,0.15,0,0,0,0.05,0.1,51.66666667,75.5,2468.341147
overlapping-generations fecundity,0.88,7.5,concave,1,0.15,0.85,0,0,0,0.1,0.75,174.8235294,212.35,1802.969618
overlapping-generations fecundity,0.97,6.5,concave,1,0.9,0.1,0,0,0,0.1,0,34,73.75,1832.235114
overlapping-generations fecundity,0.98,1.5,concave,1,1,0,0,0,0,0,0,nan,64.6,nan
overlapping-generations fecundity,0.96,6.5,concave,1,0.9,0.1,0,0,0,0.05,0.05,64,78.7,2686.192009
overlapping-generations fecundity,0.87,7.5,concave,1,0.2,0.8,0,0,0,0.1,0.7,228,247.15,1562.147224
overlapping-generations fecundity,0.96,1.5,concave,1,1,0,0,0,0,0,0,nan,64.6,nan
overlapping-generations fecundity,0.97,1.5,concave,1,1,0,0,0,0,0,0,nan,64.15,nan
overlapping-generations fecundity,0.95,1.5,concave,1,1,0,0,0,0,0,0,nan,66.3,nan
