drive conversion,somatic fitness,germline resistance,embryo resistance,eliminated,genetic load,efficiency decline coefficient,zero frequency relative increase rate,maximum drive frequency,linear regression loss,suppressed without chasing rate,suppressed with chasing rate,long term chasing rate,equilibrium rate,loss drive rate,short term chasing rate,intermediate chasing rate,duration of chasing,suppressed time,average fertile females,suppressed rate,chasing rate
0.55,0.7,0,0.1,0,0.6156636,0.477739353,0.28638608,0.599460938,0.001432376,0,0,1,0,0,0,0,335.3,,5792.937035,0,1
0.55,0.5,0,0.6,0,0.084195488,0,0,0,1,0,0,0,0,1,0,0,,,,0,0
0.5,0.55,0,0,0,0.60585685,0.239271764,0.162234852,0.678035923,0.002806824,0,0,1,0,0,0,0,322.95,,6816.119451,0,1
0.65,0.5,0,0,0,0.830001413,0.284358319,0.245471777,0.863248095,0.001876145,0,0,1,0,0,0,0,328,,2095.950975,0,1
0.55,0.7,0,0.4,0,0.3996473,0.729014819,0.220070841,0.301874304,0.002955652,0,0,0.05,0,0.95,0,0,314,,11246.77976,0,0.05
0.55,0.7,0,0.6,0,0.266213913,0.961270706,0.171425595,0.178332278,0.00326517,0,0,0,0,1,0,0,,,,0,0
0.55,0.65,0,0.1,0,0.5768085,0.442929868,0.254511939,0.574610018,0.002651256,0,0,1,0,0,0,0,334,,6732.762379,0,1
0.55,0.6,0,0.4,0,0.2542184,0.897232195,0.176349455,0.196548291,0.004219325,0,0,0,0,1,0,0,,,,0,0
0.5,0.6,0,0,0,0.618099088,0.286394615,0.198626327,0.693540719,0.002092331,0,0,1,0,0,0,0,327.5,,6156.453464,0,1
0.55,0.65,0,0.3,0,0.408088862,0.602853072,0.202812328,0.336420826,0.003161096,0,0,0.25,0,0.75,0,0,330,,11597.0497,0,0.25
0.55,0.65,0,0.5,0,0.252525125,0.99850765,0.178387688,0.178654302,0.003312769,0,0,0,0,1,0,0,,,,0,0
0.55,0.5,0,0.7,0,0.04792878,0,0,0,1,0,0,0,0,1,0,0,,,,0,0
0.55,0.6,0,0.3,0,0.336534138,0.730146321,0.196907887,0.269682776,0.003495415,0,0,0.05,0,0.95,0,0,324,,13998.33714,0,0.05
0.55,0.75,0,0.1,0,0.634677225,0.50455855,0.313736798,0.621804541,0.001703614,0,0,1,0,0,0,0,338,,5184.866075,0,1
0.5,0.55,0,0.1,0,0.339268738,0.466700964,0.156760193,0.335890013,0.004860499,0,0,0.05,0,0.95,0,0,323,,14008.56091,0,0.05
0.5,0.5,0,0.1,0,0.299164025,0.499701926,0.125711944,0.251573863,0.004977216,0,0,0,0,1,0,0,,,,0,0
0.55,0.75,0,0.5,0,0.388123213,0.748809328,0.203388733,0.271616185,0.003547236,0,0,0,0,1,0,0,,,,0,0
0.55,0.65,0,0.4,0,0.315199675,0.803208767,0.197196938,0.245511436,0.003208645,0,0,0,0,1,0,0,,,,0,0
0.5,0.6,0,0.1,0,0.429965488,0.450437868,0.1870982,0.415369607,0.002823058,0,0,0.9,0,0.1,0,0,326.3333333,,11285.52807,0,0.9
0.5,0.5,0,0.2,0,0.223587737,0.927450399,0.125413216,0.135223636,0.007180243,0,0,0,0,1,0,0,,,,0,0
0.55,0.7,0,0.2,0,0.539312538,0.504345705,0.243819013,0.483436282,0.003275998,0,0,1,0,0,0,0,335.3,,7645.482015,0,1
0.55,0.7,0,0.5,0,0.325851412,0.862613423,0.197664987,0.229146662,0.004458629,0,0,0,0,1,0,0,,,,0,0
0.6,0.5,0,0,0,0.766850987,0.257771062,0.206718357,0.801945556,0.002886603,0,0,1,0,0,0,0,324.95,,3249.837503,0,1
0.55,0.75,0,0.2,0,0.568982025,0.574658709,0.293732768,0.511142985,0.001925067,0,0,1,0,0,0,0,336.95,,6571.587593,0,1
0.55,0.75,0,0.6,0,0.312499762,0.941569641,0.203938503,0.216594179,0.00398412,0,0,0,0,1,0,0,,,,0,0
0.55,0.8,0,0.2,0,0.602913025,0.571061124,0.314113105,0.550051635,0.002433701,0,0,1,0,0,0,0,338.5,,5773.599838,0,1
0.55,0.75,0,0.7,0,0.2406387,1.168061458,0.184761363,0.158177775,0.00321056,0,0,0,0,1,0,0,,,,0,0
